"SPW MM European ex UK Equity Q GBP Acc","GB00BMC5R164","","31621.267420","143.338000","Large Blend","Large Blend","Large Blend","Large Value","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","Large Blend","","","","","127.770817","118.460473","","",""
"Threadneedle (Lux) Eur Smlr Com 3FH CHF","LU1864953069","","5007.472410","255.644000","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","Mid Growth","","","","","","","","",""
"Threadneedle (Lux) European Select ZGH","LU0815285605","","52625.835910","241.693000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","","","","","","","",""
"TM Euro Select A Acc","GB00BNY7Y722","","14336.166820","64.208000","","","","","","","","","","","","","","","","","","","","",""
"Visionfund - Europe Oppt A USD (H)","LU2050434971","","21046.253540","123.463000","Large Blend","Large Blend","Large Blend","Large Blend","Large Value","Large Blend","Large Value","Large Blend","Large Value","Large Blend","Large Blend","","","","","","","","","",""
"Visionfund - Europe Oppt I EUR","LU2050435861","","21046.253540","123.463000","Large Blend","Large Blend","Large Blend","Large Blend","Large Value","Large Blend","Large Value","Large Blend","Large Value","Large Blend","Large Blend","","","","100.047488","82.251192","119.721910","87.604900","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Europe Excluding UK","","","","","","","","","","","","","","","","","","","","","","","","",""
"Federated Hermes SustEurpexUKEqF2GBPHDis","IE00BBJNNF22","Europe Excluding UK","26907.635710","250.942000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","127.789406","125.935514","120.851509","128.912347","139.739078","187.021564","","",""
"BlackRock European Dynamic FA H Acc","GB00BWG05T10","Europe Excluding UK","42910.500480","244.238000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","127.660803","116.040855","127.236010","130.454487","140.219059","178.185338","","",""
"BlackRock Continental Euro D Acc","GB00B4VY9893","Europe Excluding UK","43480.328910","277.210000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","126.024778","103.344958","126.404072","115.228336","136.467398","163.805782","","",""
"IFSL Marlborough European Spec Sits PInc","GB00B90VHJ34","Europe Excluding UK","752.074250","112.523000","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","Small Blend","124.698415","112.001671","132.670848","118.148102","81.994210","113.017849","","",""
"Allianz Continental European C Acc","GB00B3Q8YX99","Europe Excluding UK","29915.965500","263.031000","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","Large Growth","","124.327158","124.344038","120.659259","136.805958","125.035406","189.754063","","",""
