,Allianz UK Listed Opports C Acc GBP,Artemis SmartGARP UK Eq Fd I Acc GBP,Artemis UK Select I Acc,ASI UK Sustainable & Rspnb Invmt Eq IAcc,Aviva Investors UK Lstd Eq Uncons2GBPAcc,Aviva Investors UK Lstd S&M Cap2 GBP Acc,BlackRock UK Special Situations D Acc,BMO Responsible UK Equity 2 Acc,CFP SDL Free Spirit General Acc,ES R&M UK Recovery B Inc
ISIN,GB00B8BB9445,GB00B2PLJM64,GB00B2PLJG05,GB00B131GD17,GB0004460357,GB0004460571,GB00B3V1C060,GB0033396481,GB00BYYQC271,GB00B614J053
Return.20,0.941721,1.788568,1.058709,0.841394,1.045202,1.287708,0.982857,1.419753,1.733269,1.284126
Return.21,-0.030588,-2.382563,-2.513579,-1.51107,-1.618753,-1.940647,-1.788139,-2.069385,-0.804543,-1.803554
Return.22,0.443663,1.683076,1.361317,0.413581,0.378917,1.155652,0.760544,0.807955,1.20229,0.530235
Return.23,0.228467,2.214666,1.024619,0.670963,1.588165,1.524456,1.532479,1.048089,-0.292287,1.827945
Return.24,0.820606,0.879392,0.156712,0.448726,0.177424,0.566164,0.833521,0.976205,0.775414,0.096301
Return.25,0.195945,-2.070199,-1.415235,-0.124819,-1.373434,-0.097909,-0.670241,-1.238671,1.163554,-0.166263
Return.26,-1.918014,-1.114241,-1.963407,-1.782543,-1.795758,-1.505075,-1.304543,-0.948302,-0.120583,-1.739318
Return.27,0.889571,0.670444,0.818554,0.388428,0.838394,0.056859,0.091158,0.895615,-0.269316,1.002647
Return.28,1.52782,2.01659,1.878214,1.394263,1.05382,1.473931,1.616576,0.979492,2.504889,1.56116
Return.29,1.212847,2.777659,1.850671,2.243569,1.868969,1.960029,2.218239,2.243104,1.980378,2.096889
Return.30,0.251498,0.517151,0.539027,0.624196,0.365606,0.387903,0.723367,0.800474,0.525566,0.004546
Return.31,-0.479599,0.48735,-0.342436,-0.575558,-0.427195,-0.878813,-0.261153,-0.294118,0.026584,-0.014546
Return.32,0.14828,-0.392217,0.215192,0.482408,0.319276,0.900404,0.763692,0.235988,-0.026577,-0.541012
Return.33,2.472609,0.343067,0.909138,1.350659,0.367988,1.271882,1.212646,0.735727,0.177226,1.507533
Return.34,-1.033088,-2.510163,-2.268671,-1.547401,-1.298101,-1.049966,-1.026958,-1.548349,-0.097302,-1.654463
Return.35,-1.84685,-0.377813,1.011414,-0.846805,0.167325,-0.904159,-1.534803,-0.445104,-0.106251,-1.782117
Return.36,0.022311,0.991967,1.359385,0.504658,0.547909,0.833219,0.680571,0.745156,1.329551,0.98648
Return.37,-0.185887,-1.485913,-1.258832,-1.866873,-1.405502,-2.09315,-2.071522,-0.857988,0.3324,-0.810651
Return.38,0.238379,1.164834,0.286588,-0.426397,0.444849,-0.142992,-0.111334,-0.059684,-0.156931,0.11077
Return.39,0.141201,0.839528,0.187049,0.757626,1.006543,0.775356,1.114579,0.776351,1.012924,0.556955
Return.40,1.558442,2.462455,2.053693,2.144632,1.617671,2.554239,2.513228,2.044444,1.262102,2.216407
Return.41,0.854951,0.686899,0.630135,0.960184,0.2517,1.054375,1.139785,0.7259,1.09271,1.043919
Return.42,1.927257,1.764166,1.732119,0.995435,0.665167,0.374544,1.063151,1.06659,0.988009,2.009866
Return.43,0.326983,1.653545,0.402078,0.43945,0.45671,-0.036648,0.105197,0.142613,-0.1756,1.444569
Return.44,-0.410939,-0.571811,0.110417,-0.437527,0.196685,-0.059992,0.0,-0.284819,0.092143,-0.776019
Return.45,-0.640296,-0.778407,-0.823099,-0.627786,-1.255028,-0.480224,-0.399327,-1.142531,-0.46029,-0.248489
Return.46,-5.033653,-2.719194,-2.131262,-1.55411,-1.684862,-0.844447,-1.392699,-1.906963,-1.185472,-2.727082
Return.47,-2.729398,-5.664297,-5.111767,-4.382981,-4.62079,-5.758702,-5.264284,-4.565538,-3.505488,-4.580009
Return.48,1.154949,2.663895,2.141274,2.66443,2.109543,3.001506,3.004292,2.222222,1.966317,2.571781
Return.49,-0.206897,0.544908,0.771708,-0.058835,0.275688,-0.358598,-0.197368,0.0,2.032169,0.130369
Return.50,0.629655,-1.690398,-2.123743,-1.955782,-2.145136,-1.390636,-1.076686,-1.056763,-0.771252,-1.23047
Return.51,0.869897,1.376058,1.284508,2.128227,1.616372,1.973638,1.7992,2.166616,1.716775,1.008151
Return.52,-0.173992,-0.417886,-0.565793,-0.378887,-0.542736,0.114667,0.04364,-0.597372,-1.175581,-0.461363
Return.53,-1.068506,-2.284235,-2.025896,-2.734426,-2.701033,-2.887686,-2.61723,-2.734375,-2.132722,-3.046923
Return.54,0.536193,0.795436,0.647307,1.139351,1.209877,0.714796,1.030235,1.421069,0.164959,0.663772
Return.55,0.72381,1.370483,1.352389,0.42661,1.150106,1.398155,1.374418,1.127018,1.646875,1.210706
Return.56,2.223903,0.762208,2.737432,1.858489,1.071564,1.623854,1.202712,1.957831,1.202354,1.81005
Return.57,1.827734,2.305234,1.595608,2.078718,1.731779,0.885047,1.339672,1.6839,1.491405,2.445741
Return.58,1.199041,0.078385,-0.038842,1.232046,1.243214,1.833077,0.895522,1.307379,0.647572,0.730561
Return.59,2.922591,1.180707,1.407285,1.633245,0.880416,1.334138,1.394759,1.405219,0.536171,1.022992
Return.60,0.718621,3.291663,1.792586,1.805547,1.965288,2.229573,1.625677,1.187783,-0.270758,2.382878
Return.61,1.884178,0.831087,1.160374,1.194539,0.875217,0.731297,1.415094,0.419229,0.41958,1.735032
Return.62,0.516726,-1.314563,-0.619641,0.885329,0.376396,-0.125281,-0.121335,0.862789,0.204817,-0.992038
Return.63,-0.459957,0.031475,-0.30117,-0.095517,-0.279649,0.054678,0.303705,-0.220751,-0.171695,-0.164673
Return.64,0.863006,-0.867542,-0.235133,0.107559,-0.309114,0.086794,0.4239,0.442478,0.687961,-0.22429
Return.65,-0.040423,0.230686,0.378081,0.78195,0.872678,0.751566,0.603015,0.688326,1.138767,-0.012246
Return.66,-0.465054,-1.242387,-2.202873,-0.977257,-1.495754,-1.067933,-1.118881,-1.53131,-0.233231,-1.432033
Return.67,-0.379198,-0.002863,-0.698589,-0.155512,0.016085,0.28356,0.323298,0.249931,-0.532044,-0.260925
Return.68,-0.061175,-1.623959,-1.517823,-0.790751,-0.907073,-0.571943,-1.107754,-0.526316,0.299862,-1.284903
Return.69,0.380875,1.754958,1.467906,1.847715,1.418509,1.208635,2.118126,1.949318,1.753394,0.941968
Return.70,-0.792737,-0.422163,0.15458,0.432798,-0.806555,-0.098985,-0.019944,0.0,0.119114,-0.543833
Return.71,-0.122934,0.84331,0.26171,-0.112161,0.367837,0.821427,-0.139637,-0.136575,-1.046954,0.872735
Return.72,-0.902626,-1.329012,-1.382103,-0.30731,-1.29557,-1.578747,-1.418298,-0.820569,-1.931709,-0.682712
Return.73,0.717637,0.844635,1.525332,0.835853,1.582907,1.03395,0.810537,1.18588,1.32407,0.797641
Return.74,-1.151,-2.31517,-2.461688,-1.375661,-1.256853,-1.374056,-1.20603,-1.06296,-0.38719,-2.744756
Return.75,0.623787,1.20436,1.845316,0.739151,0.56499,0.982674,0.996948,0.633609,1.044619,1.325629
Return.76,0.06888,-0.859947,-0.895005,0.118343,-0.726486,-0.252881,-0.100725,-0.218998,0.681199,-0.762415
Return.77,-1.073789,-3.172897,-3.325468,-4.148936,-2.54342,-3.029428,-2.843315,-2.770919,0.875587,-2.544846
Return.78,0.626218,1.148593,1.689201,0.628931,0.397143,1.006056,0.622665,1.072235,1.79121,1.067284
Return.79,0.995713,2.482824,2.312129,1.893382,1.954592,1.159857,1.05198,0.474595,0.20155,2.673264
Return.80,-1.78009,0.132685,-1.2523,0.294666,-0.410812,-0.369231,-0.510308,-0.055571,-0.247563,-0.903549
Return.81,-0.808588,-1.411692,-2.497052,-2.01463,-1.614012,-2.405644,-2.523595,-1.251043,-1.318443,-1.165739
Return.82,-3.492621,-4.22262,-5.756556,-5.923388,-3.899907,-6.189001,-5.661966,-5.377252,-6.428796,-4.42825
Return.83,0.131071,-1.520271,-3.586043,-0.383765,-1.984072,-0.962255,-0.937082,-0.595061,-0.991097,-0.780019
Return.84,-2.210748,-2.40436,-2.075777,-2.44858,-2.077225,-2.610067,-3.108108,-2.454355,-2.239566,-3.568068
Return.85,3.353908,5.157089,6.568164,5.441767,6.493741,5.971138,5.602046,5.18564,4.790003,5.285842
Return.86,-0.107929,-1.490192,-2.16475,-1.358471,-2.428944,-1.681373,-1.87101,-0.700117,-0.19046,-1.473314
Return.87,-1.779154,-2.98776,-3.397389,-0.572752,-0.461773,-1.893859,-2.131,-1.145711,-1.451921,-2.240078
Return.88,-1.026694,-1.850542,-0.813692,-0.828479,-0.973177,-1.656702,-1.810681,-0.77266,-2.247853,-1.815284
Return.89,-0.644635,-0.923239,-0.548226,1.48153,-0.581191,0.54933,0.35014,0.928422,0.938765,0.464508
Return.90,-2.759341,-1.999987,-4.072892,-3.46003,-4.173605,-3.521999,-2.535473,-3.679525,-2.303754,-2.750793
Return.91,-0.582867,-0.423273,-1.370486,-0.059956,-0.258809,-0.071728,-0.381862,0.061614,-1.650655,-0.398115
Return.92,-1.920852,-1.811088,-1.09821,-1.79976,-1.049042,-1.74915,-1.533301,-1.323892,-1.953645,-2.249266
Return.93,-0.503382,0.21543,0.13986,0.061092,0.164831,0.276849,-0.072993,-0.156006,-0.036229,0.378853
Return.94,1.075099,1.797535,1.356442,0.929381,1.682998,1.154185,1.436572,1.0625,1.440609,2.482652
Return.95,4.45018,4.358173,5.459632,5.081328,5.28542,4.029568,4.656745,3.896104,4.10861,3.761046
Return.96,-0.531636,1.442163,0.445439,0.671613,0.041921,0.021863,0.298165,-0.119048,-0.128689,0.232264
Return.97,0.557061,-0.480008,0.553836,-0.800559,-1.005692,-1.041932,-0.868969,-0.774732,-0.369384,-0.441382
Return.98,1.317563,1.339433,1.015328,0.999167,1.252249,0.62217,1.730104,0.48048,0.888084,1.048898
Return.99,-0.147776,0.169544,0.114285,1.027332,-0.428512,0.468316,0.816327,1.285117,0.632425,-0.230337
Return.100,0.739973,1.29539,1.920731,2.33507,1.749414,1.77713,1.574449,2.331071,1.715499,1.475159
Return.101,0.903482,1.759311,1.20253,0.300558,1.856883,1.270216,0.730735,0.461361,0.985222,0.969143
Return.102,-0.385819,0.314179,1.70446,-0.666585,0.702205,0.699572,0.131897,-0.631458,-0.926002,-0.290683
Return.103,-1.936568,-1.567185,-2.01735,-1.21283,-2.557913,-1.670117,-0.417124,-0.924321,-0.333806,-0.686761
Return.104,0.603622,1.850621,2.938573,2.39312,2.759238,1.634255,1.851852,1.924198,0.678222,1.586926
Return.105,-0.318519,-0.772842,-1.094296,-0.505173,-0.980983,-0.582804,-0.324675,0.171625,0.723553,0.415018
Return.106,0.267519,0.142497,-0.64016,0.048939,-0.737109,0.215418,0.282302,-0.599657,-0.264223,-0.372745
Return.107,1.563774,3.092163,3.394596,3.46683,3.886637,3.14328,2.685145,2.671646,2.856197,2.718734
Return.108,-0.109457,1.465791,1.847783,0.933696,1.70503,0.942945,0.948967,0.419698,1.303928,0.787814
Return.109,1.680181,0.595287,1.182982,1.252927,0.905926,1.147363,1.086275,0.975202,0.603846,0.465406
Return.110,-0.172426,-2.413865,-1.287989,0.5898,-1.153391,0.197423,0.020665,0.551876,1.263623,-0.675612
Return.111,-0.316661,-0.73313,-0.444374,0.109221,-1.406038,0.7681,0.309917,0.219539,0.163781,0.036896
Return.112,-0.924121,-2.373126,-2.656803,-1.286247,-2.658755,-1.627229,-1.071061,-1.588171,-0.786421,-2.209151
Return.113,0.276907,1.059585,0.390946,1.657844,-0.505187,0.464913,1.748907,0.862549,1.365563,0.213721
Return.114,-1.002834,-1.617458,-2.331083,-0.989929,-2.098707,-0.506355,-0.470636,-0.082759,0.410344,-1.425304
Return.115,-0.814799,-1.75099,-1.542704,-0.658845,-1.521333,-1.284125,-1.212993,-0.911099,0.424088,-0.867352
Return.116,-0.466252,2.289518,2.102415,1.192623,2.654308,1.321315,0.686785,1.309557,1.074939,0.749526
Return.117,0.401517,0.291098,-0.213141,0.120731,-1.299679,-0.593072,-0.103348,0.110011,0.850805,0.330318
Return.118,0.577649,1.590292,2.687593,1.579098,1.791531,1.884746,1.820815,1.236264,-0.173245,1.527941
Return.119,-0.125175,0.370341,0.482935,0.412663,0.398298,0.672079,0.345458,-0.434193,-1.177092,-0.290597
Return.120,1.798879,1.646932,2.926882,1.379272,2.014106,0.806398,1.336574,1.662578,0.053447,1.643473
Return.121,-0.043453,-0.353583,-1.325638,-1.3494,-0.834275,-1.311389,-1.019185,-0.911528,-0.465507,-0.18704
Return.122,-0.159397,-0.683108,-1.065187,-0.298339,-0.723982,0.252475,-0.545124,-0.162338,-2.28475,-0.221635
Return.123,0.544267,0.746659,1.42957,1.281617,1.168169,2.203592,0.568413,1.409214,-0.45508,1.295581
Return.124,-2.006496,-2.994005,-3.2233,-0.445956,-3.420657,-1.685958,-0.464271,-0.614645,0.614803,-2.159919
Return.125,-0.331443,-2.038346,-1.61514,-1.427852,-1.966137,-1.886357,-1.338471,-1.478892,-0.329025,-2.797257
Return.126,-1.241502,-2.442765,-3.333395,-2.385821,-3.739734,-2.897382,-1.973279,-1.664847,-1.972805,-3.020257
Return.127,1.114936,2.125222,2.596331,1.751629,3.211278,3.464987,2.033969,1.804052,1.9644,1.787773
Return.128,0.377414,0.532246,0.087908,0.377466,-0.060311,0.444965,0.595972,-0.218103,0.086498,0.266664
Return.129,0.980537,1.880897,2.365824,2.176514,2.417465,2.09173,1.368744,1.229508,0.07071,1.516742
Return.130,2.694021,3.124011,3.238526,0.379189,4.50591,1.644318,0.685208,0.323887,-0.149172,3.379164
Return.131,0.888668,-0.119782,0.084878,0.183323,-0.490863,0.243942,0.260208,0.780199,0.73911,-0.062878
Return.132,-0.873793,-0.388135,-0.022968,0.0,-1.13322,-0.934968,-0.419245,0.427122,-0.405869,-1.146817
Return.133,-1.457311,-4.051265,-3.939067,-3.576578,-4.51067,-2.821681,-2.886929,-3.827751,-1.371473,-3.239126
Return.134,1.276872,2.868039,3.565253,1.069642,3.696381,2.348167,1.568951,1.437258,0.49265,2.618029
Return.135,2.407579,1.226994,2.199091,0.893314,0.885197,2.044066,0.386179,1.06267,1.573496,1.380809
Return.136,0.528622,1.718458,0.703932,1.877961,0.917927,-0.353492,0.283458,0.18873,0.256889,0.875851
Return.137,0.152218,-0.302871,0.032793,0.464988,0.093633,0.888463,0.565314,0.538213,0.931749,-0.611346
Return.138,1.153713,1.478568,2.51734,1.867872,3.06027,-0.012671,1.907248,0.562099,1.269328,2.495409
Return.139,-0.853709,-1.471445,-0.814582,-0.670705,-1.701893,-0.386516,-0.472813,-0.771892,1.44333,-0.985049
Return.140,0.874836,0.721829,0.412333,1.274232,1.292748,2.2136,1.167854,1.207082,1.183166,0.332255
Return.141,2.676864,1.413551,2.803501,2.67233,1.989256,2.265231,1.897867,2.51789,2.605092,1.675812
Return.142,-0.325885,-1.059141,-1.255856,-1.607751,-1.902573,-0.541593,-1.152074,-1.525336,-0.375072,-1.25867
Return.143,2.562221,4.650328,4.984102,3.395785,5.54507,3.585414,3.243978,2.782883,2.599189,3.76616
Return.144,2.439659,1.466282,-0.031713,1.369299,1.449097,1.077968,2.107244,1.634738,2.759156,1.504186
Return.145,1.70837,1.218155,0.967563,1.203534,1.45575,2.477721,1.492537,1.156069,1.352836,1.348327
Return.146,-0.07493,-0.300739,-0.149242,-0.822921,-0.353473,-0.61871,-0.508351,-1.192547,-0.697879,-0.012467
Return.147,-0.306193,0.857367,1.672435,0.323805,-0.532091,-1.546362,-0.273723,-0.025145,0.10917,-0.129137
Return.148,0.382349,0.665162,0.047971,1.870997,0.187379,0.247691,1.610247,1.559356,1.50627,0.915828
Return.149,-0.18108,-1.164995,-0.555263,0.029703,-0.720965,-0.316842,0.342157,0.198118,0.053717,-1.246841
Return.150,-1.226073,-2.689307,-2.365658,-3.241611,-3.545927,-3.023941,-2.961235,-2.817598,-0.926112,-3.484408
Return.151,-0.544649,1.31981,1.962596,2.398854,0.677293,-0.021049,1.646014,2.136317,1.747612,1.526965
Return.152,0.490321,1.533199,1.434241,0.284715,1.946244,1.597041,0.782387,0.498008,0.213035,0.419147
Return.153,0.139408,0.054353,0.321915,0.139463,-0.039901,0.651273,0.126377,0.222993,0.372019,-0.190966
Return.154,-11.478833,-12.323381,-11.880306,-11.231037,-13.184721,-11.670588,-11.774252,-11.149567,-8.074657,-12.613319
Return.155,-3.274001,-3.945133,-4.817493,-1.215891,-4.65799,-3.51292,-2.432046,-1.47468,-1.504788,-3.669993
Return.156,-13.87185,-14.543364,-14.700714,-13.085649,-16.466966,-14.076682,-12.651864,-12.256425,-9.714912,-14.4459
Return.157,-16.612322,-14.230091,-14.927359,-9.149644,-13.637979,-17.872922,-14.676259,-11.58674,-10.517367,-12.338385
Return.158,3.694176,8.734218,7.8879,5.76108,12.927444,8.103482,7.026419,5.096469,5.546507,6.140591
Return.159,-0.952664,-3.914545,-5.583353,-4.143177,-6.775648,-4.451482,-1.470588,-4.57222,0.857265,-3.548214
Return.160,9.538122,10.911881,13.852707,11.138666,17.11034,17.025709,9.56823,9.836661,6.136847,10.015077
Return.161,-0.192079,-0.424844,0.089177,1.823398,-1.363864,0.089008,0.510825,2.511566,1.241291,-0.181007
Return.162,1.127199,0.46819,-1.090901,-0.169056,-1.315066,-0.068717,0.314618,0.032237,0.632811,-0.782333
Return.163,0.942456,1.917396,3.09788,1.411189,2.356672,2.871936,0.627262,2.094747,2.782581,2.133131
Return.164,1.095251,1.326735,0.545551,1.601831,0.590255,-0.629129,0.407576,1.199495,-0.466504,0.53301
Return.165,-2.371015,-2.308672,-4.785825,-3.512296,-4.070082,-4.554448,-2.531041,-3.275109,1.137149,-2.218634
Return.166,2.710569,2.4504,3.514903,3.236389,4.260119,6.048671,4.066634,4.256691,2.864089,3.345599
Return.167,5.357775,4.233085,8.289966,5.695429,8.829526,6.286161,4.990584,4.794309,2.496307,4.768495
Return.168,6.077162,5.273036,7.975058,3.601989,7.769069,5.804031,3.789238,2.863046,1.743767,7.410832
Return.169,-4.136292,-4.371367,-6.203447,-5.379764,-5.839571,-6.142668,-5.119896,-5.251076,-2.542493,-4.586264
Return.170,1.496115,2.255102,2.433333,4.11678,1.782148,2.45935,2.868852,3.664446,1.809462,2.364687
Return.171,-0.675951,-0.635043,-1.368657,0.220926,-0.895832,-0.614539,-1.01815,-0.35057,-0.706638,-1.370239
Return.172,-1.123319,-0.442665,-1.067422,-0.723491,-1.13925,-0.77838,-0.559034,-0.527704,-0.819495,-0.959842
Return.173,-0.663405,-0.860492,-0.455116,-1.491688,-0.755658,0.120972,-1.191815,-1.414677,-0.239182,-1.573834
Return.174,1.719676,2.163682,2.217011,1.242631,1.675106,0.113503,1.843423,2.182362,1.75821,2.624122
Return.175,-0.976611,-2.017749,-3.680426,-1.387224,-1.905867,-1.294664,-1.653631,-0.760679,-0.371269,-1.320278
Return.176,-0.795624,-3.393739,-3.172538,-2.222994,-3.641499,-0.08522,-1.681436,-2.476415,0.601978,-2.805211
Return.177,0.47619,2.726188,3.034625,2.782712,2.206465,4.186754,1.502196,2.025393,3.234079,2.437402
Return.178,1.097531,1.519262,2.844933,1.123272,2.375877,0.82577,1.36612,1.303704,0.745239,2.25896
Return.179,-0.542808,-1.552714,-0.378455,-1.492452,-1.272053,-0.451866,-1.145553,-1.228429,1.363014,-1.276011
Return.180,0.54577,0.384905,1.687979,1.46302,1.315285,2.219937,1.090661,0.769914,1.574431,1.024645
Return.181,0.18916,-1.152366,-1.068767,-0.860595,-1.661557,-0.135299,-1.03394,-0.734646,-1.636509,-0.589332
Return.182,-0.205221,1.90863,0.659867,1.36246,0.892926,0.750365,0.681354,1.924216,0.378737,0.426275
Return.183,-0.592251,0.708956,0.694216,0.862069,-1.361868,0.506862,-0.631626,0.145222,0.88263,-0.202955
Return.184,-3.020273,-5.535355,-4.881702,-4.28475,-4.98511,-3.619335,-3.768445,-4.089327,-0.634475,-4.690242
Return.185,0.469283,2.025829,5.328084,2.702385,3.52491,4.363921,1.651333,1.965528,1.451808,2.248422
Return.186,5.469214,4.304507,6.578619,2.574076,5.771802,2.786494,3.852402,2.906287,0.841394,4.314815
Return.187,-1.175618,-1.244858,-2.496358,0.206335,-2.074195,-0.597272,-0.715084,-0.634006,1.110308,-1.609533
Return.188,-0.537766,0.536302,1.147326,0.58434,2.383845,0.564142,-0.045015,-0.580046,0.883691,1.542518
Return.189,-3.907594,-5.939753,-6.14571,-5.438752,-5.969153,-4.09613,-4.638595,-4.696616,-1.462064,-4.873256
Return.190,3.367434,5.309445,7.024191,4.879761,5.54767,3.758826,3.423849,5.172942,2.941369,4.412635
Return.191,10.94433,7.330697,13.277052,6.610879,14.4234,8.746414,7.009132,6.431898,0.273033,9.803559
Return.192,4.661017,3.986319,2.630103,1.229723,4.113614,2.432515,1.834862,0.628931,1.158815,3.251433
Return.193,0.035514,0.222986,-1.719399,-3.261825,-0.520539,-2.072291,-1.23612,-2.092391,-1.890454,1.571461
Return.194,5.097984,4.263774,5.87609,4.745111,5.960787,5.828568,4.92151,3.358313,2.23314,5.755591
Return.195,-2.492906,-1.099559,-3.914094,-1.591674,-2.757697,-3.129425,-1.496159,-1.852846,-0.237159,-2.697902
Return.196,2.203284,2.456712,4.156319,3.981337,2.468796,4.361055,2.914614,2.5171,2.020644,2.531559
Return.197,1.362619,0.759295,1.466619,0.4138,1.149425,2.055108,1.136817,0.373632,0.797155,0.771282
Return.198,1.478063,-0.991605,-1.040466,0.02979,-1.304604,0.016804,0.13804,0.425419,1.654703,0.293868
Return.199,3.038292,7.40656,4.047313,4.02045,4.805909,2.248607,4.174872,3.044745,1.286655,4.568451
Return.200,-1.144941,-1.361038,-2.111443,-3.721907,-1.706378,-3.250808,-2.646503,-2.517986,-0.803545,-1.010902
Return.201,-1.158201,-2.342868,-1.790401,0.446052,-1.373124,0.348176,0.23301,0.342646,2.340818,-0.934758
Return.202,-1.466352,-3.79216,-1.805124,-2.407855,-3.178902,-1.111425,-1.995351,-2.784345,-1.390991,-3.000707
Return.203,1.813712,2.583769,3.326896,3.134638,2.182769,3.231972,2.233643,1.97244,1.32208,3.696898
Return.204,-0.163132,0.879762,-0.279597,1.093191,0.568249,1.268341,1.160093,0.503445,2.254325,0.920733
Return.205,-0.098039,1.798827,0.143142,-0.077587,1.209952,0.968675,-0.344037,-0.158186,-1.45266,1.863585
Return.206,0.935558,0.70458,1.121393,-2.34883,0.97042,0.302678,-0.076717,-1.16187,-3.65339,1.503399
Return.207,3.584392,3.49714,3.393906,1.232482,3.604099,1.527684,1.612284,2.030457,0.941981,3.122456
Return.208,2.127526,1.540872,2.260683,0.932744,1.385901,0.262725,0.415565,0.890285,1.71184,1.073818
Return.209,1.00484,-0.357181,0.249462,-0.053502,0.611823,-0.179985,-0.206922,0.389307,0.350631,0.039473
Return.210,-0.07886,1.317185,1.509548,0.992749,1.183335,1.352319,0.848256,0.49121,0.279525,-0.13852
Return.211,0.242836,0.192602,0.725943,0.558955,0.549555,0.923528,0.841121,0.64317,1.370499,0.614872
Return.212,2.610223,2.804593,3.502709,2.716949,3.217382,3.375156,3.206673,3.476483,3.070577,2.784273
Return.213,3.116331,1.863774,1.147111,1.684083,1.04077,2.169116,2.298851,1.432806,2.401067,1.26636
Return.214,-1.528247,-1.287455,-1.236851,-0.697344,-2.060099,0.733868,-0.73736,-0.365319,0.428789,-1.547654
Return.215,-0.453383,0.659451,0.542291,-0.17094,0.985819,-0.004873,0.88433,0.708873,-1.421391,0.979831
Return.216,2.283078,4.395649,2.735633,0.967234,3.184381,1.479045,1.595372,1.601942,0.466009,2.496274
Return.217,-1.096078,-1.348382,-2.607393,-2.071779,-1.176262,-0.960453,-2.226057,-1.40946,-2.341064,-1.659476
Return.218,1.217893,0.42067,0.151247,1.446291,0.665523,1.318884,1.782563,1.478071,2.33013,-0.165534
Return.219,0.843978,0.91451,1.838036,1.388761,0.727236,1.54818,1.231143,0.931232,0.753563,1.532518
Return.220,0.588102,0.779717,-0.278841,-0.150171,0.070684,-0.216787,0.256937,0.496806,1.13815,0.598522
Return.221,0.500337,-0.076843,0.129642,1.303436,0.782019,-0.375478,0.410046,0.353107,-0.091099,0.015761
Return.222,-0.54819,-2.051052,-1.095456,-0.494871,-0.608245,-0.547562,-0.544495,-0.469153,0.461274,-1.419803
Return.223,-0.359975,1.180619,-0.488982,-0.067818,0.100735,0.328916,0.513259,-0.023568,0.608649,0.222991
